"event_id","ticket_id","occurred_at","event_type","actor_role","assignment_group","state","visibility","note"
"EVT0180","INC030","2026-07-21T14:09:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0181","INC030","2026-07-21T14:10:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0182","INC030","2026-07-21T14:15:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0183","INC031","2026-07-21T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0184","INC031","2026-07-21T14:25:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0185","INC031","2026-07-21T14:26:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0186","INC031","2026-07-22T13:00:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0187","INC031","2026-07-22T13:05:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0188","INC032","2026-07-22T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0189","INC032","2026-07-22T13:22:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0190","INC032","2026-07-22T13:23:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0191","INC032","2026-07-22T14:17:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0192","INC032","2026-07-22T14:18:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0193","INC032","2026-07-22T14:23:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0194","INC033","2026-07-17T15:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0195","INC033","2026-07-17T15:35:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0196","INC033","2026-07-17T15:36:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0197","INC033","2026-07-17T15:37:00Z","Assigned","Tier 1 analyst","Application Support","In Progress","Internal","Assigned the fictional handoff to the final resolver group with diagnostic context."
"EVT0198","INC033","2026-07-17T15:38:00Z","Escalated","Tier 1 analyst","Application Support","Pending Resolver","Internal","Tier 1 stayed within scope and requested resolver-group action."
"EVT0199","INC033","2026-07-17T15:40:00Z","Pending vendor","Application Support","Application Support","Pending Vendor","Internal","Awaited the fictional application-owner compatibility fix."
"EVT0200","INC033","2026-07-20T18:00:00Z","Resolved","Resolver group","Application Support","Resolved","Public","Fictional resolution and validation completed."
"EVT0201","INC033","2026-07-20T18:05:00Z","Closed","Service Desk system","Application Support","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0202","INC034","2026-07-23T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0203","INC034","2026-07-23T13:18:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0204","INC034","2026-07-23T13:19:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0205","INC034","2026-07-24T13:00:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0206","INC034","2026-07-24T13:05:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0207","REQ005","2026-07-23T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0208","REQ005","2026-07-23T14:30:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0209","REQ005","2026-07-23T14:31:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0210","REQ005","2026-07-23T15:59:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0211","REQ005","2026-07-23T16:00:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0212","REQ005","2026-07-23T16:05:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0213","INC036","2026-07-24T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0214","INC036","2026-07-24T13:16:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0215","INC036","2026-07-24T13:17:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0216","INC036","2026-07-24T14:04:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0217","INC036","2026-07-24T14:05:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0218","INC036","2026-07-24T14:10:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0219","REQ006","2026-07-24T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0220","REQ006","2026-07-24T14:45:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0221","REQ006","2026-07-24T14:46:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0222","REQ006","2026-07-24T14:47:00Z","Assigned","Tier 1 analyst","Endpoint Management","In Progress","Internal","Assigned the fictional handoff to the final resolver group with diagnostic context."
"EVT0223","REQ006","2026-07-24T14:48:00Z","Escalated","Tier 1 analyst","Endpoint Management","Pending Resolver","Internal","Tier 1 stayed within scope and requested resolver-group action."
"EVT0224","REQ006","2026-07-26T18:00:00Z","Resolved","Resolver group","Endpoint Management","Resolved","Public","Fictional resolution and validation completed."
"EVT0225","REQ006","2026-07-26T18:05:00Z","Closed","Service Desk system","Endpoint Management","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0226","INC038","2026-07-22T15:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0227","INC038","2026-07-22T16:00:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0228","INC038","2026-07-22T16:01:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0229","INC038","2026-07-28T17:59:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0230","INC038","2026-07-28T18:00:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0231","INC038","2026-07-28T18:05:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0232","INC039","2026-07-27T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0233","INC039","2026-07-27T13:08:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0234","INC039","2026-07-27T13:09:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0235","INC039","2026-07-27T13:10:00Z","Assigned","Tier 1 analyst","Security Operations","In Progress","Internal","Assigned the fictional handoff to the final resolver group with diagnostic context."
"EVT0236","INC039","2026-07-27T13:11:00Z","Escalated","Tier 1 analyst","Security Operations","Pending Resolver","Internal","Tier 1 stayed within scope and requested resolver-group action."
"EVT0237","INC039","2026-07-27T16:00:00Z","Resolved","Resolver group","Security Operations","Resolved","Public","Fictional resolution and validation completed."
"EVT0238","INC039","2026-07-27T16:05:00Z","Closed","Service Desk system","Security Operations","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0239","INC040","2026-07-27T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0240","INC040","2026-07-27T14:06:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0241","INC040","2026-07-27T14:07:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0242","INC040","2026-07-27T14:34:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0243","INC040","2026-07-27T14:35:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0244","INC040","2026-07-27T14:40:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
